system:index,NDSI_Snow_Cover,year,.geo
0,7.549816619034487,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8.253848475390253,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.217837508278531,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.264182590738702,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.7371626955727333,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.8852414007072751,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.7727435990801035,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.4141463005699295,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.544519793068224,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.141294575117385,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.950462074161482,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.116819942632814,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.7392676771442614,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9.755640227652291,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.612788842667266,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.070050395883143,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
